gene_id,gene_symbol,gene_description
381379,Med19,mediator complex subunit 19
406948,MIR15A,microRNA 15a
51386,EIF3L,eukaryotic translation initiation factor 3 subunit L
77057,Ston1,stonin 1
65020,Zfp110,zinc finger protein 110
828127,ABC1,ABC transporter 1
813646,PF3D7_1353600,ER lumen protein retaining receptor
121268,RHEBL1,RHEB like 1
65267,WNK3,WNK lysine deficient protein kinase 3
820789,NAC3,NAC domain containing protein 3
851723,TAF12,Taf12p
817232,ABCG32,pleiotropic drug resistance 4
37800,kcc,kazachoc
819319,AT2G47050,Plant invertase/pectin methylesterase inhibitor superfamily protein
176788,aldo-1,Fructose-bisphosphate aldolase 1
814364,PF3D7_0304600,circumsporozoite (CS) protein
4907,NT5E,5'-nucleotidase ecto
835621,FTSZ1-1,homolog of bacterial cytokinesis Z-ring protein FTSZ 1-1
723926,Mir25,microRNA 25
378708,CENPS,centromere protein S
829192,AT4G30690,Translation initiation factor 3 protein
829775,AT4G36180,Leucine-rich receptor-like protein kinase family protein
5774,PTPN3,protein tyrosine phosphatase non-receptor type 3
818200,AT2G36290,alpha/beta-Hydrolases superfamily protein
945551,gloC,hydroxyacylglutathione hydrolase GloC
794783,plin6,perilipin 6
174330,cct-4,T-complex protein 1 subunit delta
6223,RPS19,ribosomal protein S19
29222,Ptma,prothymosin alpha
84394,Dcx,doublecortin
43099,CG4730,uncharacterized protein
818530,MTP11,Cation efflux family protein
823774,HERK1,hercules receptor kinase 1
35846,Cirl,Calcium-independent receptor for alpha-latrotoxin
281878,ITPR2,"inositol 1,4,5-trisphosphate receptor type 2"
19302,Pex2,peroxisomal biogenesis factor 2
826766,AT4G11610,C2 calcium/lipid-binding plant phosphoribosyltransferase family protein
12226,Btg1,BTG anti-proliferation factor 1
171408,Dcxr,dicarbonyl and L-xylulose reductase
853311,URA2,bifunctional carbamoylphosphate synthetase/aspartate transcarbamylase
80000,GREB1L,GREB1 like retinoic acid receptor coactivator
812396,PF3D7_0406200,sexual stage-specific protein precursor
856475,PTC7,type 2C protein phosphatase PTC7
210973,Kbtbd2,kelch repeat and BTB (POZ) domain containing 2
850967,TMA7,Tma7p
190808,pde-6,"Phosphodiesterase;putative 3',5'-cyclic phosphodiesterase pde-6"
837393,EDR1,Protein kinase superfamily protein
856686,VMA3,H(+)-transporting V0 sector ATPase subunit c
948374,yihS,sulfoquinovose isomerase
16816,Lcat,lecithin cholesterol acyltransferase
40800,dpr11,defective proboscis extension response 11
852403,SND3,Snd3p
100321011,plecb,plectin b
55752,SEPTIN11,septin 11
945653,pqiB,intermembrane transport protein PqiB
10726,NUDC,"nuclear distribution C, dynein complex regulator"
1938,EEF2,eukaryotic translation elongation factor 2
58081,baxa,"BCL2 associated X, apoptosis regulator a"
827153,KMS1,SNARE associated Golgi protein family
83718,Clic4,chloride intracellular channel 4
841685,AT1G52540,Protein kinase superfamily protein
175681,wip-1,WH2 domain-containing protein
43795,zfh2,Zn finger homeodomain 2
854900,HMG1,hydroxymethylglutaryl-CoA reductase (NADPH) HMG1
25461,Hrh2,histamine receptor H 2
948864,dnaC,DNA replication protein DnaC
1770,DNAH9,dynein axonemal heavy chain 9
32039,sev,sevenless
839183,AT1G26410,FAD-binding Berberine family protein
266988,smoc2,SPARC related modular calcium binding 2
694,BTG1,BTG anti-proliferation factor 1
33636,Atet,ABC transporter expressed in trachea
89891,DYNC2I2,dynein 2 intermediate chain 2
9181,ARHGEF2,Rho/Rac guanine nucleotide exchange factor 2
192360,Eml2,EMAP like 2
244682,Cntn5,contactin 5
391257,SUMO1P1,SUMO1 pseudogene 1
180628,cht-1,putative endochitinase
810647,PF3D7_1108400,"casein kinase 2, alpha subunit"
64214,Rgs18,regulator of G-protein signaling 18
835180,ERD1,Clp ATPase
93986,FOXP2,forkhead box P2
38194,GC,gamma-glutamyl carboxylase
8623789,arcB,"actin related protein 2/3 complex, 34 kDa subunit"
853573,CPA2,carbamoyl-phosphate synthase (glutamine-hydrolyzing) CPA2
17254,Slc3a2,"solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2"
817413,EXO70H5,exocyst subunit exo70 family protein H5
836829,AT5G66950,Pyridoxal phosphate (PLP)-dependent transferases superfamily protein
100001092,eif2ak2,eukaryotic translation initiation factor 2-alpha kinase 2
851620,TPI1,triose-phosphate isomerase TPI1
818303,TTG2,WRKY family transcription factor family protein
106660635,linc.alien,linc RNA alien
373894,SDK1,sidekick cell adhesion molecule 1
36555,mam,mastermind
844284,GA2,Terpenoid cyclases/Protein prenyltransferases superfamily protein
281881,KCNH1,potassium voltage-gated channel subfamily H member 1
300047,Cyc1,cytochrome c-1
850992,CTS1,chitinase
582,BBS1,Bardet-Biedl syndrome 1
5520,PPP2R2A,protein phosphatase 2 regulatory subunit Balpha
553507,npm1b,nucleophosmin 1b
24503,Ina,"internexin neuronal intermediate filament protein, alpha"
724006,mgat5,"alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase"
947035,zupT,heavy metal divalent cation transporter ZupT
565379,phkg1a,"phosphorylase kinase, gamma 1a (muscle)"
63933,MCUR1,mitochondrial calcium uniporter regulator 1
840297,OHP2,one-helix protein 2
3609,ILF3,interleukin enhancer binding factor 3
474934,PKHD1,PKHD1 ciliary IPT domain containing fibrocystin/polyductin
36015,Vamp7,Vesicle-associated membrane protein 7
853520,CDC8,bifunctional thymidylate/uridylate kinase
9562,MINPP1,multiple inositol-polyphosphate phosphatase 1
5902,RANBP1,RAN binding protein 1
66023,Gfra4,GDNF family receptor alpha 4
41532,Aos1,Activator of SUMO 1
830374,AT5G04920,EAP30/Vps36 family protein
180923,cdf-1,Cation diffusion facilitator family protein 1
23204,ARL6IP1,ADP ribosylation factor like GTPase 6 interacting protein 1
78960,Prx,periaxin
828160,AT4G02850,phenazine biosynthesis PhzC/PhzF family protein
145508,CEP128,centrosomal protein 128
280859,MIP,major intrinsic protein of lens fiber
84510,Stmn2,stathmin 2
945622,csgF,curli assembly component CsgF
334197,aldh7a1,"aldehyde dehydrogenase 7 family, member A1"
21908,Tlx1,"T cell leukemia, homeobox 1"
854931,ZDS2,Zds2p
36300,OSCP1,Organic solute carrier partner 1
2655362,PF3D7_0827900,protein disulfide isomerase
20309,Cxcl15,chemokine (C-X-C motif) ligand 15
79605,PGBD5,piggyBac transposable element derived 5
33288,Pino,Pinocchio
529,ATP6V1E1,ATPase H+ transporting V1 subunit E1
851441,NUP84,Nup84p
6632,SNRPD1,small nuclear ribonucleoprotein D1 polypeptide
34142,strat,stratum
13544,Dvl3,dishevelled segment polarity protein 3
210035,Nemp1,nuclear envelope integral membrane protein 1
407719,sdcbp,syndecan binding protein (syntenin)
97165,Hmgb2,high mobility group box 2
93677,Lmod2,leiomodin 2 (cardiac)
83560,Tex14,testis expressed gene 14
35418,Df31,Decondensation factor 31
946424,uvrY,DNA-binding transcriptional activator UvrY
40003,mus304,mutagen-sensitive 304
853558,SFC1,Sfc1p
35096,Acp36DE,Accessory gland protein 36DE
175500,acs-19,Acetyl-coenzyme A synthetase
17135,Mafk,"v-maf musculoaponeurotic fibrosarcoma oncogene family, protein K (avian)"
37429,Sgf29,SAGA-associated factor 29kDa
21745,Tep1,telomerase associated protein 1
406982,MIR20A,microRNA 20a
79245,Hsf1,heat shock transcription factor 1
171774,npp-13,Nuclear pore protein
7419,VDAC3,voltage dependent anion channel 3
852927,tS(AGA)G,tRNA
821117,VGT1,vacuolar glucose transporter 1
851190,CDC24,Rho family guanine nucleotide exchange factor CDC24
554176,cygb2,cytoglobin 2
512043,TCP1,t-complex 1
564465,pde1a,"phosphodiesterase 1A, calmodulin-dependent"
170588,Acot8,acyl-CoA thioesterase 8
64469,Slc30a4,solute carrier family 30 member 4
2540937,abc3,multi drug resistance-associated protein abc3
856457,VMA22,Vma22p
834270,ATS,Homeodomain-like superfamily protein
174775,pcs-1,Glutathione gamma-glutamylcysteinyltransferase
368235,yars1,tyrosyl-tRNA synthetase 1
246307,Asrgl1,asparaginase and isoaspartyl peptidase 1
818844,ASL15,Lateral organ boundaries (LOB) domain family protein
103583,Fbxw11,F-box and WD-40 domain protein 11
35956,Myd88,Myd88
100124675,Trbv13-2,"T cell receptor beta, variable 13-2"
820016,UBC11,ubiquitin-conjugating enzyme 11
240411,Loxhd1,lipoxygenase homology domains 1
100039953,Gfy,golgi-associated olfactory signaling regulator
854160,IZH2,PAQR-type receptor
238055,Apob,apolipoprotein B
855717,PBI2,Pbi2p
6103,RPGR,retinitis pigmentosa GTPase regulator
854000,BDS1,sulfuric ester hydrolase
8621750,p17,hypothetical protein
2539578,SPCC645.10,putative ATP/CTP tRNA nucleotidyltransferase
832520,AT5G24490,30S ribosomal protein
850797,REX3,RNA exonuclease
948063,dppB,dipeptide ABC transporter membrane subunit DppB
820599,HSP60-3A,heat shock protein 60-3A
4615,MYD88,MYD88 innate immune signal transduction adaptor
31718,Tbh,Tyramine beta hydroxylase
852181,MRX3,Mrx3p
851984,LSM6,U4/U6-U5 snRNP complex subunit LSM6
158067,AK8,adenylate kinase 8
288025,Plaat1,phospholipase A and acyltransferase 1
8617339,orcB,origin recognition complex subunit 2
843442,AT1G71020,ARM repeat superfamily protein
34371,REPTOR-BP,REPTOR-binding partner
34010,Wnt6,Wnt oncogene analog 6
27032,ATP2C1,ATPase secretory pathway Ca2+ transporting 1
946691,rlmI,23S rRNA m(5)C1962 methyltransferase
839286,AXR1,NAD(P)-binding Rossmann-fold superfamily protein
826718,AT4G11170,Disease resistance protein (TIR-NBS-LRR class) family
287006,Slco6c1,"solute carrier organic anion transporter family, member 6c1"
47091,comt,comatose
64037,Slc22a4,solute carrier family 22 member 4
10135,NAMPT,nicotinamide phosphoribosyltransferase
73242,Atat1,alpha tubulin acetyltransferase 1
71934,Car13,carbonic anhydrase 13
23971,Papss1,3'-phosphoadenosine 5'-phosphosulfate synthase 1
850941,VPS34,phosphatidylinositol 3-kinase VPS34
826724,BTI2,VIRB2-interacting protein 2
81584,cldne,claudin e
3113,HLA-DPA1,"major histocompatibility complex, class II, DP alpha 1"
64805,P2RY12,purinergic receptor P2Y12
824049,AT3G48880,RNI-like superfamily protein
564497,tnfaip3,"tumor necrosis factor, alpha-induced protein 3"
8620084,abcG2,ABC transporter G family protein
436935,rgs2,regulator of G protein signaling 2
34500,porin,porin
53610,Nono,"non-POU-domain-containing, octamer binding protein"
945591,cspG,cold shock protein CspG
946606,mdtB,multidrug efflux pump RND permease subunit MdtB
3845,KRAS,"KRAS proto-oncogene, GTPase"
100004611,sema3bl,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3bl"
100000492,mafaa,v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog Aa
84522,JAGN1,jagunal homolog 1
17131,Smad7,SMAD family member 7
80848,Cubn,cubilin
835274,CBF4,C-repeat-binding factor 4
812824,PF3D7_0503000,"50S ribosomal protein L28, apicoplast, putative"
77037,Mrap,melanocortin 2 receptor accessory protein
13864,Nr2f6,"nuclear receptor subfamily 2, group F, member 6"
9786,KIAA0586,KIAA0586
691589,Chd5,chromodomain helicase DNA binding protein 5
852972,SLX9,Slx9p
831142,EML3,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein
5142,PDE4B,phosphodiesterase 4B
2541763,snu23,putative U4/U5/U6 small nuclear ribonucleoprotein complex subunit Snu23
751555,Mir665,microRNA 665
820331,AT3G11580,AP2/B3-like transcriptional factor family protein
114429,znf703,zinc finger protein 703
23030,KDM4B,lysine demethylase 4B
72179,Fbxl2,F-box and leucine-rich repeat protein 2
56006,SMG9,SMG9 nonsense mediated mRNA decay factor
8622499,abcC2,ABC transporter C family protein
79462,Txn2,thioredoxin 2
2541656,pcf3,CAF assembly factor complex subunit B Pcf3
92714,ARRDC1,arrestin domain containing 1
308445,Cyp2s1,"cytochrome P450, family 2, subfamily s, polypeptide 1"
828167,RPS13A,ribosomal protein S13A
84679,SLC9A7,solute carrier family 9 member A7
844081,NAC032,NAC domain containing protein 32
836574,XND1,xylem NAC domain 1
948126,cysE,serine acetyltransferase
10693,CCT6B,chaperonin containing TCP1 subunit 6B
76454,Fbxo31,F-box protein 31
853917,SHB17,sedoheptulose-bisphosphatase
59103,Ptges,prostaglandin E synthase
127733,UBXN10,UBX domain protein 10
34792,tam,tamas
828444,AIRP1,RING/U-box superfamily protein
33386,GlyP,Glycogen phosphorylase
180350,mnr-1,MeNoRin (dendritic branching protein)
179366,aqp-4,AQuaPorin or aquaglyceroporin related
838859,PATL2,PATELLIN 2
45875,Hex-A,Hexokinase A
38226,Dhc62B,Dynein heavy chain at 62B
11810,Apobec1,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1"
226830,Smyd2,SET and MYND domain containing 2
3925,STMN1,stathmin 1
2908,NR3C1,nuclear receptor subfamily 3 group C member 1
406398,sumo3a,small ubiquitin like modifier 3a
816362,PERK4,roline-rich extensin-like receptor kinase 4
9223,MAGI1,"membrane associated guanylate kinase, WW and PDZ domain containing 1"
10735,STAG2,stromal antigen 2
29241,Adcy8,adenylate cyclase 8
41671,Task6,TWIK-related acid-sensitive K[+] channel 6
818384,PHT4;2,phosphate transporter 4;2
792333,nanog,nanog homeobox
432628,Mfsd2b,major facilitator superfamily domain containing 2B
270166,Clpx,caseinolytic mitochondrial matrix peptidase chaperone subunit
81751,Psen2,presenilin 2
29673,Psma6,proteasome 20S subunit alpha 6
56321,Aatf,apoptosis antagonizing transcription factor
15953,Ifi47,interferon gamma inducible protein 47
947185,elfG,putative fimbrial-like adhesin protein
947539,rrrD,DLP12 prophage; lysozyme
829338,Phox4,Octicosapeptide/Phox/Bem1p (PB1) domain-containing protein / tetratricopeptide repeat (TPR)-containing protein
173445,mlt-10,Uncharacterized protein
179599,zip-10,Transcription factor zip-10
393535,chmp1a,charged multivesicular body protein 1A
306862,Tfap2a,transcription factor AP-2 alpha
852350,TSC3,Tsc3p
37523,mei-S332,meiotic from via Salaria 332
9666,DZIP3,DAZ interacting zinc finger protein 3
947804,rplR,50S ribosomal subunit protein L18
831946,APY2,apyrase 2
177914,rad-51,DNA repair protein RAD51 homolog
29571540,CPF_RS06580,linear amide C-N hydrolase
20964,Syn1,synapsin I
821571,AT3G20270,lipid-binding serum glycoprotein family protein
854511,MRS2,Mrs2p
171447,Adgrl2,adhesion G protein-coupled receptor L2
2065,ERBB3,erb-b2 receptor tyrosine kinase 3
812351,PF3D7_1479800,rifin
29182,Cdh22,cadherin 22
2543265,psu1,putative beta-glucosidase Psu1
93725,Ear10,"eosinophil-associated, ribonuclease A family, member 10"
9873,FCHSD2,FCH and double SH3 domains 2
298496,Kcnq4,potassium voltage-gated channel subfamily Q member 4
5648,MASP1,MBL associated serine protease 1
44699,blis,blisterwing
280943,TNF,tumor necrosis factor
14870,Gstp1,"glutathione S-transferase, pi 1"
832390,TT16,K-box region and MADS-box transcription factor family protein
828963,AT4G28460,transmembrane protein
945339,chbB,"N,N'-diacetylchitobiose-specific PTS enzyme IIB component"
41975,Zip89B,Zinc/iron regulated transporter-related protein 89B
29419,Numb,"NUMB, endocytic adaptor protein"
751738,nxt2,nuclear transport factor 2-like export factor 2
103850,Nt5m,"5',3'-nucleotidase, mitochondrial"
10640,EXOC5,exocyst complex component 5
819236,TRIP-1,TGF-beta receptor interacting protein 1
856155,PUF2,Puf2p
827471,AT4G17560,Ribosomal protein L19 family protein
6398,SECTM1,secreted and transmembrane 1
54290,Rgs10,regulator of G-protein signaling 10
855388,MDJ2,Mdj2p
29653,Gpam,"glycerol-3-phosphate acyltransferase, mitochondrial"
33369,Der-1,Derlin-1
208154,Btla,B and T lymphocyte associated
406614,irf2bp2b,interferon regulatory factor 2 binding protein 2b
8615933,sodA,superoxide dismutase
36968,veil,veil
330286,D630045J12Rik,RIKEN cDNA D630045J12 gene
67943,Mesd,mesoderm development LRP chaperone
537616,POLD3,"DNA polymerase delta 3, accessory subunit"
392255,GDF6,growth differentiation factor 6
852950,SPR3,septin SPR3
2543596,brr6,nuclear envelope protein Brr6/Brl1
855662,MTQ1,S-adenosylmethionine-dependent methyltransferase
945149,allE,(S)-ureidoglycine aminohydrolase
5956,OPN1LW,"opsin 1, long wave sensitive"
16924,Lnx1,ligand of numb-protein X 1
89825,Nap1l1,nucleosome assembly protein 1-like 1
36281,rho-7,rhomboid-7
40693,MTA1-like,Metastasis associated 1-like
2543289,rad26,ATR checkpoint kinase regulatory subunit Rad26
946663,cdd,cytidine/deoxycytidine deaminase
325922,retsat.2,"retinol saturase, tandem duplicate 2"
172128,lfe-2,Inositol-trisphosphate 3-kinase homolog
32818,por,porcupine
175542,asd-1,RRM domain-containing protein
820758,SPL5,squamosa promoter binding protein-like 5
100302288,MIR548P,microRNA 548p
945363,ybaT,putative transporter YbaT
2954,GSTZ1,glutathione S-transferase zeta 1
63982,ANO3,anoctamin 3
333,APLP1,amyloid beta precursor like protein 1
17121,Mxd3,Max dimerization protein 3
2540055,hse1,STAM-like protein Hse1
16201,Ilf3,interleukin enhancer binding factor 3
7432,VIP,vasoactive intestinal peptide
842040,TIM50,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein
100360880,Fosb,"FosB proto-oncogene, AP-1 transcription factor subunit"
100316737,Mir664,microRNA 664
79238,Hmgcl,3-hydroxy-3-methylglutaryl-CoA lyase
100536023,apela,apelin receptor early endogenous ligand
8624038,gpaA,G-protein subunit alpha 1
2540460,SPBC2A9.07c,zf-PARP type zinc finger protein
682837,Muc5ac,"mucin 5AC, oligomeric mucus/gel-forming"
948260,rbsK,ribokinase
2540399,SPBC2A9.06c,"putative ditrans,polycis-decaprenylcistransferase"
1551,CYP3A7,cytochrome P450 family 3 subfamily A member 7
823580,FAR5,fatty acid reductase 5
261729,STEAP2,STEAP2 metalloreductase
188157,mps-3,MiRP K channel accessory Subunit
66705,Dnase1l2,deoxyribonuclease 1-like 2
394001,ap2m1b,adaptor related protein complex 2 subunit mu 1b
541393,cdh6,cadherin 6
851717,RUB1,NEDD8 family protein RUB1
835603,VTC5,GDP-L-galactose phosphorylase VITAMIN C DEFECTIVE 5 (VTC5)
826851,SKU5,Cupredoxin superfamily protein
568275,tmem234,transmembrane protein 234
856310,AOS1,E1 ubiquitin-activating protein AOS1
282091,PPP1R16B,protein phosphatase 1 regulatory subunit 16B
856291,ORC4,origin recognition complex subunit 4
18290,Ofa,oncofetal antigen
840188,SBT3.5,Subtilase family protein
15377,Foxa3,forkhead box A3
16492,Kcna4,"potassium voltage-gated channel, shaker-related subfamily, member 4"
852421,TFC1,transcription factor TFIIIC subunit TFC1
948721,rpsR,30S ribosomal subunit protein S18
84263,HSDL2,hydroxysteroid dehydrogenase like 2
796066,mettl22,"methyltransferase 22, Kin17 lysine"
664748,shox,short stature homeobox
173271,F47G4.4,Uncharacterized protein
21945,Dedd,death effector domain-containing
850657,SFI1,Sfi1p
15423,Hoxc4,homeobox C4
837104,CAT9,cationic amino acid transporter 9
831563,AT5G17000,Zinc-binding dehydrogenase family protein
83544,DNAL1,dynein axonemal light chain 1
836762,NAC105,NAC domain containing protein 105
854813,BET1,Bet1p
8618721,rnrB-1,ribonucleoside-diphosphate reductase
2543682,rpn10,19S proteasome regulatory subunit Rpn10
836519,SAL1,SAL1 phosphatase-like protein
25096,Pld1,phospholipase D1
9682,KDM4A,lysine demethylase 4A
